,película,año,imdb,metascore,votos,n_imdb
3118,Money Monster,2016,6.5,55,102830,65.0
3119,The Neon Demon,2016,6.1,51,100869,61.0
3120,Angry Birds,2016,6.3,43,99645,63.0
3121,The Boy,2016,6.0,42,98585,60.0
3122,Resident Evil: The Final Chapter,2016,5.5,49,98352,55.0
3123,Sing Street,2016,7.9,79,98169,79.0
3124,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,5.9,40,97355,59.0
3125,Z. La ciudad perdida,2016,6.6,78,96215,66.0
3126,Koe No Katachi: Una voz silenciosa,2016,8.1,78,92947,81.0
3127,Mike and Dave Need Wedding Dates,2016,6.0,51,92846,60.0
3128,How to Be Single,2016,6.1,51,91834,61.0
3129,Un monstruo viene a verme,2016,7.4,76,91443,74.0
3130,The BFG,2016,6.3,66,90485,63.0
3131,El especialista: resurrección,2016,5.7,38,89763,57.0
3132,Trolls,2016,6.4,55,87240,64.0
3133,Paterson,2016,7.3,90,86163,73.0
3134,Grave,2016,7.0,81,84759,70.0
3135,Office Christmas Party,2016,5.9,42,84272,59.0
3136,Midnight Special,2016,6.6,76,82818,66.0
3137,Jackie,2016,6.7,81,81982,67.0
3138,Café Society,2016,6.6,64,79634,66.0
3139,El bebé de Bridget Jones,2016,6.5,59,79435,65.0
3140,Miss Sloane,2016,7.5,64,79375,75.0
3141,Underworld: Blood Wars,2016,5.7,23,79057,57.0
3142,The Fundamentals of Caring,2016,7.3,55,76884,73.0
3143,The Infiltrator,2016,7.0,66,76829,70.0
3144,Gokseong,2016,7.4,81,75591,74.0
3145,Triple 9,2016,6.3,52,74974,63.0
3146,Zoolander 2,2016,4.7,34,73643,47.0
3147,Ice Age: Collision Course,2016,5.6,34,71607,56.0
3148,Elle,2016,7.1,89,69597,71.0
3149,Ouija: Origin of Evil,2016,6.2,65,69574,62.0
3150,The Finest Hours,2016,6.7,58,69220,67.0
3151,Criminal,2016,6.3,36,68757,63.0
3152,Colossal,2016,6.2,70,67497,62.0
3153,Gold,2016,6.7,49,67209,67.0
3154,Blood Father,2016,6.4,66,66474,64.0
3155,Popstar: Never Stop Never Stopping,2016,6.7,68,65938,67.0
3156,Keeping Up with the Joneses,2016,5.9,34,65844,59.0
3157,Storks,2016,6.8,56,65510,68.0
3158,El cliente,2016,7.7,85,63097,77.0
3159,The Girl with All the Gifts,2016,6.6,67,62751,66.0
3160,"I, Daniel Blake",2016,7.8,78,62748,78.0
3161,Ride Along 2,2016,5.9,32,61529,59.0
3162,Pete's Dragon,2016,6.7,71,60570,67.0
3163,Free State of Jones,2016,6.9,53,60221,69.0
3164,Vivir de Noche,2016,6.4,49,58912,64.0
3165,Pride and Prejudice and Zombies,2016,5.8,45,58886,58.0
3166,The Light Between Oceans,2016,7.2,60,58871,72.0
3167,Florence Foster Jenkins,2016,6.8,71,58233,68.0
3168,Everybody Wants Some!!,2016,6.9,85,57172,69.0
3169,The Belko Experiment,2016,6.1,44,54911,61.0
3170,Whiskey Tango Foxtrot,2016,6.6,57,54533,66.0
3171,Anthropoid,2016,7.2,59,51909,72.0
3172,Keanu,2016,6.2,63,50963,62.0
3173,Toni Erdmann,2016,7.3,93,50157,73.0
3174,Before I Wake,2016,6.2,68,49733,62.0
3175,The Do-Over,2016,5.7,22,49580,57.0
3176,Free Fire,2016,6.3,63,49019,63.0
3177,Bastille Day,2016,6.3,48,48963,63.0
3178,Imperium,2016,6.5,68,48319,65.0
3179,Blair Witch,2016,5.0,47,48264,50.0
3180,The Boss,2016,5.4,40,47937,54.0
3181,20th Century Women,2016,7.3,83,47832,73.0
3182,Esperando al rey,2016,6.1,58,46496,61.0
3183,Ben-Hur,2016,5.7,38,45660,57.0
3184,American Honey,2016,7.0,80,45275,70.0
3185,Morgan,2016,5.8,48,45271,58.0
3186,The Forest,2016,4.8,34,44896,48.0
3187,The Choice,2016,6.5,26,44080,65.0
3188,Brimstone,2016,7.0,45,43701,70.0
3189,Better Watch Out,2016,6.5,67,42607,65.0
3190,Personal Shopper,2016,6.1,77,42012,61.0
3191,Conjuros del más allá,2016,5.9,62,39654,59.0
3192,Race,2016,7.1,56,39652,71.0
3193,Mother's Day,2016,5.6,18,38624,56.0
3194,Meet the Blacks,2016,4.8,26,37247,48.0
3195,La tortue rouge,2016,7.5,86,37171,75.0
3196,13th,2016,8.2,81,36842,82.0
3197,Loving,2016,7.0,79,35663,70.0
3198,The Bad Batch,2016,5.2,62,34076,52.0
3199,Julieta,2016,7.1,73,33195,71.0
3200,My Big Fat Greek Wedding 2,2016,6.0,37,32827,60.0
3201,A Street Cat Named Bob,2016,7.3,54,32768,73.0
3202,The Whole Truth,2016,6.2,46,31314,62.0
3203,Logan,2017,8.1,77,800666,81.0
3204,Thor: Ragnarok,2017,7.9,74,788998,79.0
3205,Guardians of the Galaxy Vol. 2,2017,7.6,67,732308,76.0
3206,Dunkerque,2017,7.8,94,707428,78.0
3207,Spider-Man: De regreso a casa,2017,7.4,73,692977,74.0
3208,Mujer Maravilla,2017,7.4,76,682172,74.0
3209,Star Wars: Los últimos jedi,2017,6.9,84,654483,69.0
3210,Huye,2017,7.8,85,652838,78.0
3211,Blade Runner 2049,2017,8.0,81,619879,80.0
3212,It,2017,7.3,69,579200,73.0
3213,"Baby, el aprendiz del crimen",2017,7.6,86,579080,76.0
3214,Coco,2017,8.4,81,550422,84.0
3215,Tres anúncios por un crimen,2017,8.1,88,533942,81.0
3216,John Wick: Chapter 2,2017,7.4,75,488849,74.0
3217,Liga de Justicia,2017,6.1,45,468228,61.0
3218,La forma del agua,2017,7.3,87,436122,73.0
3219,Jumanji en la selva,2017,6.9,58,403734,69.0
3220,Kingsman: El círculo dorado,2017,6.7,44,348641,67.0
3221,Kong: Skull Island,2017,6.7,62,334500,67.0
3222,Piratas del Caribe: La venganza de Salazar,2017,6.5,39,330717,65.0
3223,La bella y la bestia,2017,7.1,65,323862,71.0
3224,Lady Bird,2017,7.4,93,312064,74.0
3225,El gran showman,2017,7.5,48,297934,75.0
3226,Llámame por tu nombre,2017,7.8,94,295443,78.0
3227,Alien: Covenant,2017,6.4,65,293178,64.0
3228,Asesinato en el expreso de Oriente,2017,6.5,52,272850,65.0
3229,La guerra del planeta de los simios,2017,7.4,82,270464,74.0
3230,Muerte misteriosa,2017,7.7,73,266548,77.0
3231,Rápidos y furiosos 8,2017,6.6,56,246021,66.0
3232,Life,2017,6.6,54,243377,66.0
3233,Duro de cuidar,2017,6.9,47,240681,69.0
3234,¡madre!,2017,6.6,76,239707,66.0
3235,"Yo, Tonya",2017,7.5,77,232549,75.0
3236,El Rey Arturo: La Leyenda de la Espada,2017,6.7,41,225796,67.0
3237,Ghost in the Shell,2017,6.3,52,222766,63.0
3238,Las horas más oscuras,2017,7.4,75,212570,74.0
3239,Atómica,2017,6.7,63,201495,67.0
3240,La momia,2017,5.4,34,198915,54.0
3241,Barry Seal: Sólo en América,2017,7.1,65,197178,71.0
3242,Bright,2017,6.3,29,197013,63.0
3243,Guardianes de la bahía,2017,5.5,37,196038,55.0
3244,Valerian y la ciudad de los mil planetas,2017,6.4,51,191225,64.0
3245,Apuesta maestra,2017,7.4,71,181370,74.0
3246,Extraordinario,2017,7.9,66,172565,79.0
3247,El sacrificio del ciervo sagrado,2017,7.0,73,167776,70.0
3248,The Lego Batman Movie,2017,7.3,75,165068,73.0
3249,Transformers: El último caballero,2017,5.2,27,163269,52.0
3250,The Disaster Artist. Obra maestra,2017,7.3,76,160350,73.0
3251,The Post: Los oscuros secretos del pentágono,2017,7.2,83,157858,72.0
3252,La estafa de los Logan,2017,7.0,78,156917,70.0
3253,Feliz día de tu muerte,2017,6.6,58,154372,66.0
3254,Mi villano favorito 3,2017,6.2,49,145816,62.0
3255,Annabelle: La creación,2017,6.5,62,143847,65.0
3256,La Torre Oscura,2017,5.6,34,143025,56.0
3257,Un amor inseparable,2017,7.5,86,140391,75.0
3258,El hilo fantasma,2017,7.4,90,139928,74.0
3259,Un jefe en pañales,2017,6.3,50,135671,63.0
3260,Good Time,2017,7.3,80,132812,73.0
3261,What Happened to Monday,2017,6.8,47,130007,68.0
3262,Trainspotting 2,2017,7.2,67,129699,72.0
3263,Okja,2017,7.3,75,128181,73.0
3264,Un don excepcional,2017,7.6,60,125050,76.0
3265,You Were Never Really Here,2017,6.7,84,124263,67.0
3266,Proyecto Florida,2017,7.6,92,122278,76.0
3267,El implacable,2017,7.0,55,119612,70.0
3268,Gerald's Game,2017,6.5,77,119001,65.0
3269,Pequeña gran vida,2017,5.8,64,116451,58.0
3270,Geo-Tormenta,2017,5.3,21,114144,53.0
3271,Cars 3,2017,6.7,59,112570,67.0
3272,Power Rangers,2017,5.9,44,112018,59.0
3273,El ritual,2017,6.3,57,111460,63.0
3274,The Death of Stalin,2017,7.2,88,108900,72.0
3275,Fifty Shades Darker,2017,4.6,33,107652,46.0
3276,It Comes at Night,2017,6.2,78,98952,62.0
3277,El círculo,2017,5.3,43,97265,53.0
3278,xXx: Return of Xander Cage,2017,5.2,42,95353,52.0
3279,Shot Caller,2017,7.3,59,92467,73.0
3280,Hostiles,2017,7.2,65,91481,72.0
3281,Un golpe con estilo,2017,6.6,50,89330,66.0
3282,Todo el dinero del mundo,2017,6.8,72,88492,68.0
3283,Death Note,2017,4.6,43,88360,46.0
3284,Paddington 2,2017,7.8,88,86902,78.0
3285,Asesino: Misión Venganza,2017,6.2,45,86518,62.0
3286,Jigsaw,2017,5.7,39,85108,57.0
3287,la gran fuga: Papillon,2017,7.2,51,81475,72.0
3288,Guerra de papás,2017,6.0,30,78909,60.0
3289,Más allá de la montaña,2017,6.4,48,78816,64.0
3290,A Ghost Story,2017,6.8,84,76494,68.0
3291,La razón de estar contigo,2017,7.2,43,76377,72.0
3292,Only the Brave,2017,7.6,72,74241,76.0
3293,"The Square, la farsa del arte",2017,7.1,73,73615,71.0
3294,Brawl in Cell Block 99,2017,7.1,79,71760,71.0
3295,The Snowman,2017,5.1,23,69376,51.0
3296,Pitch Perfect 3,2017,5.8,40,69106,58.0
3297,1922,2017,6.2,70,68670,62.0
3298,Emoji la película,2017,3.4,12,68622,34.0
3299,I don't feel at home in this world anymore.,2017,6.9,75,61987,69.0
3300,Loving Vincent,2017,7.8,62,61210,78.0
3301,"Olé, el viaje de Ferdinand",2017,6.7,58,61168,67.0
3302,Jungla,2017,6.7,48,60660,67.0
3303,First Reformed,2017,7.1,86,60338,71.0
3304,Amigos por siempre,2017,7.0,46,60301,70.0
3305,El seductor,2017,6.3,77,60062,63.0
3306,Terror a 47 metros,2017,5.6,52,59221,56.0
3307,Battle of the Sexes,2017,6.7,73,58165,67.0
3308,La navidad de las madres rebeldes,2017,5.6,42,55336,56.0
3309,Si no despierto,2017,6.4,58,55148,64.0
3310,The Space Between Us,2017,6.4,33,55090,64.0
3311,Detroit: zona de conflicto,2017,7.3,77,54985,73.0
3312,Rough Night,2017,5.2,51,54495,52.0
3313,To the Bone,2017,6.8,64,52880,68.0
3314,Icarus,2017,7.9,68,52878,79.0
3315,The Meyerowitz Stories (New and Selected),2017,6.9,79,52537,69.0
3316,El color de la guerra,2017,7.4,85,52413,74.0
3317,CHIPS,2017,6.0,28,49896,60.0
3318,Línea mortal: al límite,2017,5.2,27,49563,52.0
3319,War Machine,2017,6.0,56,48937,60.0
3320,Más fuerte que el destino,2017,6.9,76,47999,69.0
3321,The Endless,2017,6.5,80,46903,65.0
3322,Ingrid Goes West,2017,6.6,71,46480,66.0
3323,Cargo,2017,6.3,65,46441,63.0
3324,Venganza siniestra,2017,6.4,81,46427,64.0
3325,Suburbicon: bienvenidos al paraíso,2017,5.8,42,46190,58.0
3326,The House,2017,5.6,30,45993,56.0
3327,The Zookeeper's Wife,2017,7.0,57,45306,70.0
3328,Thoroughbreds,2017,6.6,75,45236,66.0
3329,Fist Fight,2017,5.6,37,44685,56.0
3330,El aro 3,2017,4.5,25,42270,45.0
3331,La esposa,2017,7.2,77,41807,72.0
3332,"Todo, todo",2017,6.3,52,41267,63.0
3333,"Roman J. Israel, Esq.",2017,6.5,58,41263,65.0
3334,Time Trap,2017,6.2,46,40815,62.0
3335,Girls Trip,2017,6.2,71,39429,62.0
3336,Desaparecido,2017,5.9,44,38379,59.0
3337,La cabaña,2017,6.3,32,38014,63.0
3338,Unlocked,2017,6.3,46,37523,63.0
3339,Victoria y Abdul,2017,6.8,58,37402,68.0
3340,El castillo de cristal,2017,7.1,56,37039,71.0
3341,Snatched,2017,4.7,45,36772,47.0
3342,The Discovery,2017,6.2,54,36343,62.0
3343,Secretos ocultos,2017,6.7,63,36162,67.0
3344,Historias de ultratumba,2017,6.4,68,35929,64.0
3345,Thelma,2017,7.0,74,35146,70.0
3346,En la penumbra,2017,7.1,65,34719,71.0
3347,Nelyubov,2017,7.6,86,34581,76.0
3348,Mi nueva yo,2017,5.8,41,34114,58.0
3349,Disobedience,2017,6.6,74,33952,66.0
3350,God's Own Country,2017,7.6,85,33836,76.0
3351,Sleepless,2017,5.6,34,33633,56.0
3352,Borg vs. McEnroe,2017,6.9,63,33599,69.0
3353,Cazadora de gigantes,2017,6.1,74,32448,61.0
3354,"Las aventuras del Capitán Calzoncillos, la película",2017,6.2,69,30966,62.0
3355,Table 19,2017,5.8,40,30186,58.0
3356,Creep 2,2017,6.4,75,30097,64.0
3357,La rueda de la maravilla,2017,6.2,46,30076,62.0
3358,The Current War,2017,6.5,55,29673,65.0
3359,En la mira del francotirador,2017,6.2,57,29302,62.0
3360,Teströl és lélekröl,2017,7.5,77,29045,75.0
3361,Goodbye Christopher Robin,2017,7.1,54,28973,71.0
3362,The Book of Henry,2017,6.6,31,28814,66.0
3363,LEGO Ninjago la película,2017,6.0,55,28645,60.0
3364,Taeksi woonjunsa,2017,7.9,69,28359,79.0
3365,Den 12. mann,2017,7.3,70,28065,73.0
3366,Cult of Chucky,2017,5.2,69,27949,52.0
3367,Professor Marston and the Wonder Women,2017,7.0,68,27787,70.0
3368,Avengers: Infinity War,2018,8.4,68,1149447,84.0
3369,Pantera Negra,2018,7.3,88,812593,73.0
3370,Spider-Man: un nuevo uiverso,2018,8.4,87,623694,84.0
3371,Deadpool 2,2018,7.6,66,616373,76.0
3372,"Bohemian Rhapsody, La historia de Freddie Mercury",2018,7.9,49,565508,79.0
3373,Un lugar en silencio,2018,7.5,82,559452,75.0
3374,Green Book. Una amistad sin fronteras,2018,8.2,69,531775,82.0
3375,Venom,2018,6.6,35,516201,66.0
3376,Aquaman,2018,6.8,55,499434,68.0
3377,Ready Player One,2018,7.4,64,462559,74.0
3378,Ant-Man y la Avispa,2018,7.0,70,432889,70.0
3379,Nace una estrella,2018,7.6,88,403854,76.0
3380,Bird Box,2018,6.6,51,370227,66.0
3381,Han Solo. Una historia de Star Wars,2018,6.9,62,366128,69.0
3382,Misión Imposible: Repercusión,2018,7.7,86,362496,77.0
3383,El legado del diablo,2018,7.3,87,351003,73.0
3384,Annihilation,2018,6.8,79,346481,68.0
3385,Jurassic World: El reino caído,2018,6.1,51,332344,61.0
3386,Los Increíbles 2,2018,7.6,80,316213,76.0
3387,Animales fantásticos: Los crímenes de Grindelwald,2018,6.5,52,297762,65.0
3388,El infiltrado del KKKlan,2018,7.5,83,278424,75.0
3389,Noche de juegos,2018,6.9,66,247813,69.0
3390,Ocean's 8: Las estafadoras,2018,6.3,61,232993,63.0
3391,Tomb Raider,2018,6.3,48,221531,63.0
3392,La favorita,2018,7.5,91,211241,75.0
3393,Upgrade: máquina asesina,2018,7.5,67,197228,75.0
3394,El primer hombre en la luna,2018,7.3,84,196400,73.0
3395,Operación Red Sparrow,2018,6.6,53,194979,66.0
3396,Megalodón,2018,5.6,46,192609,56.0
3397,Locamente millonarios,2018,6.9,74,183079,69.0
3398,Isla de perros,2018,7.8,82,182239,78.0
3399,Bumblebee,2018,6.7,66,181201,67.0
3400,Rampage: Devastación,2018,6.1,45,178909,61.0
3401,Buscando,2018,7.6,71,175130,76.0
3402,WiFi Ralph,2018,7.0,71,173939,70.0
3403,El justiciero 2,2018,6.7,50,173428,67.0
3404,Roma,2018,7.7,96,165297,77.0
3405,Halloween,2018,6.5,67,162427,65.0
3406,The Ballad of Buster Scruggs,2018,7.3,79,159922,73.0
3407,Sicario 2: Soldado,2018,7.1,61,158900,71.0
3408,Bad Times at the El Royale,2018,7.1,60,158339,71.0
3409,Un pequeño favor,2018,6.8,67,157106,68.0
3410,El vicepresidente,2018,7.2,61,155961,72.0
3411,Maze Runner: La cura mortal,2018,6.2,50,153237,62.0
3412,La monja,2018,5.3,46,151732,53.0
3413,Creed II: Defendiendo el legado,2018,7.1,66,149211,71.0
3414,La mula,2018,7.0,58,146674,70.0
3415,¡Te atrapé!,2018,6.5,56,141756,65.0
3416,El depredador,2018,5.3,48,139381,53.0
3417,Máquinas mortales,2018,6.1,44,134006,61.0
3418,Rascacielos: Rescate en las alturas,2018,5.8,51,129379,58.0
3419,Titanes del Pacífico: La insurrección,2018,5.6,44,123072,56.0
3420,El Pasajero,2018,6.3,56,121470,63.0
3421,Yo soy Simón,2018,7.5,72,121379,75.0
3422,El robo perfecto,2018,7.0,49,119144,70.0
3423,To All the Boys I've Loved Before,2018,7.0,64,117856,70.0
3424,Familia al instante,2018,7.3,57,114266,73.0
3425,The Cloverfield Paradox,2018,5.5,37,109931,55.0
3426,Operación Overlord,2018,6.6,60,103792,66.0
3427,"Mamma Mía, vamos otra vez",2018,6.6,60,103245,66.0
3428,Viudas,2018,6.8,84,101662,68.0
3429,Cafarnaúm-La ciudad olvidada,2018,8.4,75,98236,84.0
3430,El regreso de Mary Poppins,2018,6.7,66,92407,67.0
3431,Beautiful Boy: Siempre serás mi hijo,2018,7.3,62,90128,73.0
3432,Tropa de héroes,2018,6.5,54,88302,65.0
3433,Suspiria,2018,6.7,64,86309,67.0
3434,La casa de Jack,2018,6.8,42,85047,68.0
3435,Sorry to Bother You,2018,6.9,80,85044,69.0
3436,Mandy,2018,6.5,82,85041,65.0
3437,Milla 22: El escape,2018,6.1,38,84364,61.0
3438,No me las toquen,2018,6.2,69,82860,62.0
3439,Un asunto de familia,2018,7.9,93,82066,79.0
3440,Christopher Robin: Un reencuentro inolvidable,2018,7.2,60,81905,72.0
3441,Mi ex es un espía,2018,6.0,52,80902,60.0
3442,Hotel Transylvania 3: Monstruos de vacaciones,2018,6.3,54,80688,63.0
3443,Eighth Grade,2018,7.4,87,80178,74.0
3444,Johnny English 3.0,2018,6.2,39,79926,62.0
3445,El Grinch,2018,6.4,51,79294,64.0
3446,The Christmas Chronicles,2018,7.0,52,78390,70.0
3447,Robin Hood,2018,5.3,32,77359,53.0
3448,Outlaw King,2018,6.9,59,77344,69.0
3449,Climax,2018,6.9,67,74943,69.0
3450,Deseo de mata,2018,6.3,31,74632,63.0
3451,En los 90,2018,7.3,66,73681,73.0
3452,Free Solo,2018,8.1,83,73676,81.0
3453,Burning,2018,7.5,90,71442,75.0
3454,Cincuenta sombras liberadas,2018,4.5,31,70301,45.0
3455,Ataque submarino,2018,6.6,43,68579,66.0
3456,Matar o morir,2018,6.5,29,68316,65.0
3457,Les frères Sisters,2018,6.9,78,68272,69.0
3458,Hotel Mumbai: El atentado,2018,7.6,62,68033,76.0
3459,La noche del demonio: La última llave,2018,5.7,49,67593,57.0
3460,12 horas para sobrevivir: el inico,2018,5.2,54,67582,52.0
3461,Alfa,2018,6.6,63,64888,66.0
3462,Mowgli,2018,6.5,51,64366,65.0
3463,Leave No Trace,2018,7.1,88,63251,71.0
3464,Den skyldige,2018,7.5,83,62290,75.0
3465,Tully,2018,6.9,75,61715,69.0
3466,Verdad o reto,2018,5.2,35,60329,52.0
3467,Guerra fría,2018,7.5,90,60109,75.0
3468,A la deriva,2018,6.6,56,59827,66.0
3469,Set It Up,2018,6.5,62,59408,65.0
3470,Hotel de criminales,2018,6.1,58,56585,61.0
3471,Apostle,2018,6.3,62,56509,63.0
3472,El ártico,2018,6.8,71,56208,68.0
3473,How It Ends,2018,5.0,36,56184,50.0
3474,Sexy por accidente,2018,5.6,48,55958,56.0
3475,Extinction,2018,5.8,40,55706,58.0
3476,Can You Ever Forgive Me?,2018,7.1,87,54717,71.0
3477,La casa con un reloj en sus paredes,2018,6.1,57,53932,61.0
3478,Las dos reinas,2018,6.3,60,53416,63.0
3479,Dragged Across Concrete,2018,6.9,60,52488,69.0
3480,When We First Met,2018,6.4,36,52412,64.0
3481,If Beale Street Could Talk,2018,7.1,87,51230,71.0
3482,The Guernsey Literary and Potato Peel Pie Society,2018,7.3,65,50152,73.0
3483,La chica en la telaraña,2018,6.1,43,50013,61.0
3484,Unsane,2018,6.4,63,48639,64.0
3485,The Old Man & the Gun,2018,6.7,80,48426,67.0
3486,Under the Silver Lake,2018,6.5,60,47715,65.0
3487,American Animals,2018,7.0,68,47677,70.0
3488,The Perfection,2018,6.2,60,47478,62.0
3489,Anon,2018,6.1,54,47106,61.0
3490,Un viaje en el tiempo,2018,4.3,53,46791,43.0
3491,Operation Finale,2018,6.6,58,46321,66.0
3492,Las travesuras de Peter Rabbit,2018,6.6,51,46120,66.0
3493,Summer of 84,2018,6.7,57,43962,67.0
3494,Night School,2018,5.6,43,43064,56.0
3495,Pie pequeño,2018,6.6,60,41744,66.0
3496,Peligro en la montaña,2018,5.9,61,41204,59.0
3497,Corazón borrado,2018,6.9,69,40835,69.0
3498,White Boy Rick,2018,6.5,59,40797,65.0
3499,Réplicas,2018,5.4,19,40767,54.0
3500,Sierra Burgess Is a Loser,2018,5.8,60,40452,58.0
3501,Amor a la deriva,2018,6.0,42,40254,60.0
3502,Hold the Dark,2018,5.6,63,39284,56.0
3503,Stan & Ollie,2018,7.2,75,39053,72.0
3504,High Life,2018,5.8,78,38785,58.0
3505,The Hate U Give,2018,7.5,81,38738,75.0
3506,El alma de la fiesta,2018,5.6,46,38501,56.0
3507,Holmes & Watson,2018,3.9,24,38261,39.0
3508,Van Gogh en la puerta de la eternidad,2018,6.9,76,38197,69.0
3509,Freaks,2018,6.7,63,37959,67.0
3510,Three Identical Strangers,2018,7.6,81,37816,76.0
3511,Mute,2018,5.4,35,37129,54.0
3512,They Shall Not Grow Old,2018,8.2,91,37043,82.0
3513,Todos lo saben,2018,6.9,68,36964,69.0
3514,La voz de la igualdad,2018,7.1,59,36877,71.0
3515,Pesadilla en el infierno,2018,6.4,44,36720,64.0
3516,Slender Man,2018,3.2,30,36714,32.0
3517,La viuda,2018,6.0,54,36548,60.0
3518,Eliminar amigo 2: Red oscura,2018,6.0,53,36220,60.0
3519,Dumplin',2018,6.5,53,36174,65.0
3520,22 July,2018,6.8,69,36145,68.0
3521,La maldición de la casa Winchester,2018,5.4,28,35777,54.0
3522,El Cascanueces y los cuatro reinos,2018,5.6,39,35719,56.0
3523,The Professor,2018,6.7,37,35380,67.0
3524,Padmaavat,2018,7.0,63,35171,70.0
3525,15:17 tren a París,2018,5.3,45,34939,53.0
3526,Mentes poderosas,2018,5.7,39,34552,57.0
3527,Cam,2018,5.9,71,34544,59.0
3528,Amor de medianoche,2018,6.6,38,34340,66.0
3529,The Nightingale,2018,7.3,77,33591,73.0
3530,Tau,2018,5.8,43,33437,58.0
3531,Los extraños: cacería nocturna,2018,5.2,48,33043,52.0
3532,Border,2018,7.0,75,32863,70.0
3533,The Titan,2018,4.8,33,32787,48.0
3534,"Game Over, Man!",2018,5.4,32,32317,54.0
3535,Blindspotting,2018,7.4,76,32025,74.0
3536,Destination Wedding,2018,6.0,46,31950,60.0
3537,The Clovehitch Killer,2018,6.5,59,31854,65.0
3538,Calibre,2018,6.8,76,31756,68.0
3539,Prospect,2018,6.3,68,31692,63.0
3540,Gringo: se busca vivo o muerto,2018,6.1,46,31488,61.0
3541,Cuando ellas quieren,2018,6.1,53,31110,61.0
3542,Destrucción,2018,6.2,62,30955,62.0
3543,Wildlife,2018,6.8,80,30438,68.0
3544,Dragon Ball Super: Broly,2018,7.7,59,30161,77.0
3545,¿Quién mató a los puppets?,2018,5.5,27,29631,55.0
3546,Jefa por accidente,2018,5.8,46,29346,58.0
3547,No te preocupes no irá lejos,2018,6.8,67,29293,68.0
3548,Dogman,2018,7.2,71,28409,72.0
3549,Guasón,2019,8.4,59,1391483,84.0
3550,Avengers: Endgame,2019,8.4,78,1208126,84.0
3551,Parásito,2019,8.5,96,881117,85.0
3552,Había una vez en Hollywood,2019,7.6,83,796008,76.0
3553,Entre navajas y secretos,2019,7.9,82,737992,79.0
3554,1917,2019,8.2,78,637914,82.0
3555,Capitana Marvel,2019,6.8,64,588895,68.0
3556,Spider-Man: Lejos de Casa,2019,7.4,69,529064,74.0
3557,Star Wars: El ascenso de Skywalker,2019,6.5,53,474559,65.0
3558,Contra lo imposible,2019,8.1,81,432842,81.0
3559,Jojo Rabbit,2019,7.9,58,418926,79.0
3560,El irlandés,2019,7.8,94,411165,78.0
3561,John Wick 3: Parabellum,2019,7.4,73,403036,74.0
3562,¡Shazam!,2019,7.0,71,371188,70.0
3563,Los caballeros: criminales con clase,2019,7.8,51,368576,78.0
3564,Midsommar. El terror no espera la noche,2019,7.1,72,365882,71.0
3565,Historia de un matrimonio,2019,7.9,94,330651,79.0
3566,Nosotros,2019,6.8,81,321305,68.0
3567,Uncut Gems,2019,7.4,91,302487,74.0
3568,It capítulo 2,2019,6.5,58,286303,65.0
3569,Battle Angel: La última guerrera,2019,7.3,53,283189,73.0
3570,Aladdín,2019,6.9,53,280478,69.0
3571,El Camino: A Breaking Bad Movie,2019,7.3,72,275057,73.0
3572,Jumanji: El siguiente nivel,2019,6.7,58,268989,67.0
3573,Toy Story 4,2019,7.7,84,267568,77.0
3574,El rey león,2019,6.8,55,258207,68.0
3575,Glass,2019,6.6,43,257268,66.0
3576,El hoyo,2019,7.0,73,253071,70.0
3577,Ad Astra. Hacia las estrellas,2019,6.5,80,251432,65.0
3578,The Lighthouse,2019,7.4,83,237065,74.0
3579,"Rápidos y furiosos, Hobbs & Shaw",2019,6.5,60,227178,65.0
3580,Mujercitas,2019,7.8,91,226793,78.0
3581,Doctor Sueño,2019,7.3,59,205697,73.0
3582,X-Men: Dark Phoenix,2019,5.7,43,197427,57.0
3583,Godzilla II: El rey de los monstruos,2019,6.0,48,193881,60.0
3584,Zombieland: Tiro de gracia,2019,6.7,55,192114,67.0
3585,6 Underground,2019,6.1,41,189177,61.0
3586,Terminator: Destino oculto,2019,6.2,54,187202,62.0
3587,Rocketman,2019,7.3,69,185631,73.0
3588,Frozen 2,2019,6.8,64,184888,68.0
3589,Pokémon: Detective Pikachu,2019,6.5,53,176187,65.0
3590,Klaus,2019,8.2,65,170591,82.0
3591,Boda sangrienta,2019,6.8,64,168910,68.0
3592,Yesterday,2019,6.8,55,160900,68.0
3593,Murder Mystery,2019,6.0,38,159604,60.0
3594,The King,2019,7.3,62,141977,73.0
3595,Cómo entrenar a tu dragón 3,2019,7.4,71,141790,74.0
3596,Hombres de Negro Internacional,2019,5.6,38,141403,56.0
3597,Sound of Metal,2019,7.7,82,140760,77.0
3598,Triple Frontier,2019,6.5,61,138834,65.0
3599,Escape Room: Sin salida,2019,6.4,48,134795,64.0
3600,The Two Popes,2019,7.6,75,129459,76.0
3601,La noche de las nerds,2019,7.1,84,126367,71.0
3602,El escándalo,2019,6.8,64,122263,68.0
3603,Proyecto Géminis,2019,5.7,38,117786,57.0
3604,Ni en tus sueños,2019,6.8,67,116650,68.0
3605,Maléfica: Dueña del mal,2019,6.6,43,113391,66.0
3606,Agente bajo fuego,2019,6.4,45,105265,64.0
3607,Rambo: la última misión,2019,6.1,26,105202,61.0
3608,Estafadoras de Wall Street,2019,6.3,79,104816,63.0
3609,Brightburn: El hijo de la oscuridad,2019,6.1,44,103898,61.0
3610,Retrato de una mujer en llamas,2019,8.1,95,101634,81.0
